meeting,speaker,word_pos,pause_ms,seg_len,seg_len_prev,prev_end
EN2001a,EN2001a.E,6423,1509.999999999991,43,54,1964.7
EN2001a,EN2001a.E,6646,2019.9999999999818,78,138,2028.02
EN2001a,EN2001a.E,7911,2150.000000000091,44,1,2434.23
EN2001a,EN2001a.E,8206,1920.0000000000728,9,25,2520.56
EN2001a,EN2001a.E,8215,1279.9999999997453,1,9,2524.8
EN2001a,EN2001a.E,8216,4429.999999999836,21,1,2526.63
EN2001a,EN2001a.E,8292,1429.9999999998363,10,1,2558.44
EN2001a,EN2001a.E,9974,4250.0,20,27,3082.48
EN2001a,EN2001a.E,10548,1670.0000000000728,42,30,3234.86
EN2001a,EN2001a.E,10642,4379.999999999654,21,37,3261.8
EN2001a,EN2001a.E,10701,3820.0000000001637,28,12,3285.99
EN2001a,EN2001a.E,11559,2800.000000000182,54,1,3579.56
EN2001a,EN2001a.E,11615,1989.9999999997817,22,54,3594.76
EN2001a,EN2001a.E,12308,2400.000000000091,6,18,3851.08
EN2001a,EN2001a.E,12554,3199.999999999818,8,1,3934.36
EN2001a,EN2001a.E,13132,2070.0000000006185,8,16,4144.19
EN2001a,EN2001a.E,15052,1190.0000000005093,50,1,4774.7
EN2001a,EN2001a.E,15121,2739.9999999997817,48,1,4796.14
EN2001a,EN2001a.E,15297,2619.999999999891,1,25,4852.76
EN2001a,EN2001a.E,15482,2340.0000000001455,41,27,4906.93
EN2001a,EN2001a.E,15577,1630.0000000001091,6,5,4937.01
EN2001a,EN2001a.E,15781,2230.000000000473,5,19,4998.23
EN2001a,EN2001a.E,15786,2420.0000000000728,3,5,5002.26
EN2001a,EN2001a.E,15789,3159.9999999998545,12,3,5005.34
EN2001a,EN2001a.E,15822,4190.000000000509,11,1,5022.16
EN2001a,EN2001a.E,15833,2729.9999999995634,4,11,5029.1
EN2001a,EN2001a.E,15837,2529.9999999997453,10,4,5032.87
EN2001b,EN2001b.A,6,1050.0000000000043,8,3,34.62
EN2001b,EN2001b.A,796,1259.999999999991,10,19,375.99
EN2001b,EN2001b.A,807,1590.0000000000318,11,10,383.26
EN2001b,EN2001b.A,818,1520.0000000000387,10,11,388.21
EN2001b,EN2001b.A,963,4939.999999999998,23,3,439.1
EN2001b,EN2001b.A,987,1560.0000000000023,5,23,453.77
EN2001b,EN2001b.A,1215,2070.00000000005,18,28,554.25
EN2001b,EN2001b.A,1335,1409.9999999999682,8,1,600.08
EN2001b,EN2001b.A,1427,1019.9999999999818,9,20,631.45
EN2001b,EN2001b.A,1491,1520.0000000000955,2,35,653.92
EN2001b,EN2001b.A,1656,1539.9999999999636,22,24,737.95
EN2001b,EN2001b.A,1678,1099.999999999909,2,22,745.45
EN2001b,EN2001b.A,1794,1720.0000000000273,11,10,803.66
EN2001b,EN2001b.A,1849,1620.0000000000045,5,7,824.53
EN2001b,EN2001b.A,2127,1319.9999999999363,8,7,915.99
EN2001b,EN2001b.A,2626,1060.0000000001728,18,58,1079.07
EN2001b,EN2001b.A,2728,1500.0,5,3,1112.91
EN2001b,EN2001b.A,2765,1250.0,17,22,1125.2
EN2001b,EN2001b.A,5114,1230.0000000000182,33,1,1867.58
EN2001b,EN2001b.A,5582,1220.0000000000273,1,11,2029.79
EN2001b,EN2001b.A,5583,1039.9999999999636,7,1,2031.33
EN2001b,EN2001b.A,5867,1090.0000000001455,4,2,2122.16
EN2001b,EN2001b.A,5882,1639.9999999998727,11,10,2131.02
EN2001b,EN2001b.A,5893,1200.0000000002728,27,11,2136.08
EN2001b,EN2001b.A,7449,1730.0000000000182,6,24,2652.18
EN2001b,EN2001b.A,7526,1109.9999999996726,14,12,2681.01
EN2001b,EN2001b.A,7816,1390.0000000003274,42,1,2769.72
EN2001b,EN2001b.A,8797,2379.9999999996544,9,14,3084.09
EN2001b,EN2001b.B,21,2850.0000000000014,5,7,45.24
EN2001b,EN2001b.B,30,2059.999999999995,1,3,56.42
EN2001b,EN2001b.B,35,3219.999999999999,37,4,67.53
EN2001b,EN2001b.B,264,1699.9999999999886,9,104,166.58
EN2001b,EN2001b.B,277,1120.0000000000045,89,4,183.46
EN2001b,EN2001b.B,630,1540.0000000000205,18,71,292.14
EN2001b,EN2001b.B,701,1410.000000000025,1,24,320.53
EN2001b,EN2001b.B,702,4189.999999999998,1,1,322.31
EN2001b,EN2001b.B,703,1540.0000000000205,1,1,326.64
EN2001b,EN2001b.B,704,4469.999999999971,12,1,328.22
EN2001b,EN2001b.B,742,3670.000000000016,1,6,346.83
EN2001b,EN2001b.B,743,3319.999999999993,6,1,350.91
EN2001b,EN2001b.B,1093,1650.000000000034,5,10,488.28
EN2001b,EN2001b.B,1138,1860.0000000000136,14,8,503.53
EN2001b,EN2001b.B,1152,4480.000000000018,15,14,509.6
EN2001b,EN2001b.B,1184,2639.9999999999864,1,1,537.91
EN2001b,EN2001b.B,1390,1350.0000000000227,17,2,617.72
EN2001b,EN2001b.B,1505,1779.9999999999727,14,12,661.52
EN2001b,EN2001b.B,1519,1139.9999999999864,14,14,666.42
EN2001b,EN2001b.B,1597,3559.9999999999454,7,13,697.58
EN2001b,EN2001b.B,1700,2919.999999999959,10,20,755.94
EN2001b,EN2001b.B,1725,2080.000000000041,26,12,772.88
EN2001b,EN2001b.B,1758,2990.000000000009,23,6,787.21
EN2001b,EN2001b.B,1822,1069.9999999999363,19,11,816.1
EN2001b,EN2001b.B,1990,1190.0000000000546,11,33,871.63
EN2001b,EN2001b.B,2147,1409.9999999999682,49,12,924.08
EN2001b,EN2001b.B,2196,1160.0000000000819,25,49,937.04
EN2001b,EN2001b.B,2272,1220.0000000000273,37,42,960.99
EN2001b,EN2001b.B,2339,2129.9999999999955,73,13,983.39
EN2001b,EN2001b.B,3024,970.0000000000273,8,65,1209.86
EN2001b,EN2001b.B,3118,2279.9999999999727,22,24,1238.48
EN2001b,EN2001b.B,3140,2369.999999999891,9,22,1248.67
EN2001b,EN2001b.B,3269,1129.9999999998818,5,59,1295.44
EN2001b,EN2001b.B,3370,2369.999999999891,1,7,1334.43
EN2001b,EN2001b.B,3371,2359.9999999999,14,1,1337.72
EN2001b,EN2001b.B,4782,1230.0000000000182,8,89,1771.29
EN2001b,EN2001b.B,4945,1650.000000000091,1,54,1820.29
EN2001b,EN2001b.B,5273,1700.0000000000455,17,25,1921.78
EN2001b,EN2001b.B,5344,1349.999999999909,8,10,1947.65
EN2001b,EN2001b.B,5352,1329.9999999999272,85,8,1951.17
EN2001b,EN2001b.B,5448,1069.9999999999363,5,85,1976.39
EN2001b,EN2001b.B,5454,1220.0000000000273,1,5,1978.75
EN2001b,EN2001b.B,5455,1230.0000000000182,41,1,1980.44
EN2001b,EN2001b.B,5542,1750.0,20,4,2012.7
EN2001b,EN2001b.B,5782,1660.0000000003092,18,23,2098.47
EN2001b,EN2001b.B,6296,1230.0000000000182,23,146,2268.8
EN2001b,EN2001b.B,6320,2350.000000000364,12,23,2276.45
EN2001b,EN2001b.B,6355,1139.9999999998727,57,5,2293.5
EN2001b,EN2001b.B,6413,1509.9999999997635,11,57,2309.82
EN2001b,EN2001b.B,6466,1799.9999999997272,92,31,2323.63
EN2001b,EN2001b.B,6654,2490.0000000002365,22,8,2388.54
EN2001b,EN2001b.B,6677,1210.0000000000364,16,22,2397.63
EN2001b,EN2001b.B,6693,2269.999999999982,16,16,2402.02
EN2001b,EN2001b.B,6709,1239.9999999997817,106,16,2407.71
EN2001b,EN2001b.B,6818,2050.000000000182,25,106,2437.39
EN2001b,EN2001b.B,6843,3920.0000000000728,1,25,2445.84
EN2001b,EN2001b.B,6862,2090.0000000001455,1,18,2460.95
EN2001b,EN2001b.B,6863,2019.9999999999818,36,1,2463.57
EN2001b,EN2001b.B,7150,2210.0000000000364,25,193,2554.43
EN2001b,EN2001b.B,7175,1289.9999999999636,69,25,2563.93
EN2001b,EN2001b.B,7298,1920.0000000000728,54,26,2600.52
EN2001b,EN2001b.B,7724,1639.9999999998727,33,14,2738.94
EN2001b,EN2001b.B,7967,1920.0000000000728,15,74,2814.11
EN2001b,EN2001b.B,7982,1500.0,71,15,2820.71
EN2001b,EN2001b.B,8053,1500.0,22,71,2842.11
EN2001b,EN2001b.B,8309,1480.0000000000182,12,57,2920.73
EN2001b,EN2001b.B,8380,1980.0000000000182,40,32,2942.38
EN2001b,EN2001b.B,8619,3030.0000000002,22,2,3014.81
EN2001b,EN2001b.B,8971,3309.9999999999454,20,1,3143.77
EN2001b,EN2001b.B,9065,1669.999999999618,75,1,3187.76
EN2001b,EN2001b.B,9184,1460.0000000000364,11,15,3221.09
EN2001b,EN2001b.B,9461,2079.9999999999272,35,39,3307.44
EN2001b,EN2001b.B,9763,1789.9999999999636,4,88,3390.57
EN2001b,EN2001b.C,847,1110.0000000000136,6,17,401.0
EN2001b,EN2001b.C,1575,2350.0000000000227,9,18,687.81
EN2001b,EN2001b.C,2797,1150.000000000091,11,14,1141.03
EN2001b,EN2001b.C,2808,1829.9999999999272,36,11,1145.76
EN2001b,EN2001b.C,3918,1579.9999999999272,3,42,1505.98
EN2001b,EN2001b.C,4082,1179.9999999998363,74,21,1556.66
EN2001b,EN2001b.C,4296,2119.999999999891,33,17,1632.67
EN2001b,EN2001b.C,5212,1680.0000000000637,6,35,1902.48
EN2001b,EN2001b.C,6347,1680.000000000291,3,15,2288.08
EN2001b,EN2001b.C,6572,2309.9999999999454,23,7,2348.55
EN2001b,EN2001b.C,6644,2599.999999999909,2,13,2382.09
EN2001b,EN2001b.C,8101,1289.9999999999636,9,17,2856.3
EN2001b,EN2001b.C,8213,1269.9999999999818,16,14,2896.54
EN2001b,EN2001b.C,9320,1240.0000000002365,4,10,3266.91
EN2001b,EN2001b.C,9778,0.0,1,3,3394.37
EN2001d,EN2001d.A,2371,1829.9999999999272,25,26,833.94
EN2001d,EN2001d.A,7990,2060.0000000004,13,34,2598.95
EN2001d,EN2001d.B,424,2890.0000000000146,10,163,176.35
EN2001d,EN2001d.B,434,2799.9999999999827,8,10,180.83
EN2001d,EN2001d.B,442,2090.0000000000036,12,8,187.15
EN2001d,EN2001d.B,480,2780.000000000001,28,2,207.19
EN2001d,EN2001d.B,941,939.9999999999977,10,1,347.12
EN2001d,EN2001d.B,952,3330.000000000041,107,10,352.84
EN2001d,EN2001d.B,1069,2640.000000000043,1,107,389.4
EN2001d,EN2001d.B,1070,2000.0,7,1,392.89
EN2001d,EN2001d.B,1202,1890.0000000000432,1,36,434.84
EN2001d,EN2001d.B,1203,2069.999999999993,93,1,437.3
EN2001d,EN2001d.B,1296,4459.99999999998,23,93,465.99
EN2001d,EN2001d.B,1775,1610.0000000000136,16,1,604.73
EN2001d,EN2001d.B,1960,1419.999999999959,1,2,678.26
EN2001d,EN2001d.B,2147,3809.9999999999454,21,37,731.59
EN2001d,EN2001d.B,2196,2929.99999999995,2,11,755.49
EN2001d,EN2001d.B,2198,4899.999999999977,32,2,758.86
EN2001d,EN2001d.B,3783,2409.9999999998545,28,6,1278.89
EN2001d,EN2001d.B,5628,3099.999999999909,30,4,1818.42
EN2001d,EN2001d.B,5658,1799.9999999999545,27,30,1829.21
EN2001d,EN2001d.B,5942,2940.0000000000546,26,1,1920.2
EN2001d,EN2001d.B,7618,2269.999999999982,43,9,2460.65
EN2001d,EN2001d.B,7797,2700.000000000273,33,45,2528.6
EN2001d,EN2001d.B,7872,2130.000000000109,21,1,2554.44
EN2001d,EN2001d.B,8063,1389.9999999998727,1,5,2645.03
EN2001d,EN2001d.B,8064,1840.0000000001455,18,1,2646.71
EN2001d,EN2001d.B,8239,2369.999999999891,48,15,2720.21
EN2001d,EN2001d.B,8482,2039.9999999999636,7,10,2802.28
EN2001d,EN2001d.B,8695,3920.0000000000728,45,15,2869.6
EN2001d,EN2001d.B,8802,3220.0000000002547,17,4,2903.6
EN2001d,EN2001d.B,8906,4280.0000000002,10,23,2937.6
EN2001d,EN2001d.B,9845,2590.0000000001455,15,1,3252.31
EN2001d,EN2001d.B,10120,1880.0000000001091,7,42,3334.83
EN2001d,EN2001d.B,10189,1409.9999999998545,12,21,3362.03
EN2001d,EN2001d.C,6329,1490.000000000009,7,21,2043.87
EN2001d,EN2001d.C,7172,1829.9999999999272,2,15,2309.55
EN2001d,EN2001d.D,803,1759.999999999991,3,13,299.76
EN2001d,EN2001d.D,847,3250.0,5,18,314.7
EN2001d,EN2001d.D,1910,1569.9999999999363,3,11,652.6
EN2001d,EN2001d.D,2246,2239.9999999998954,16,16,778.82
EN2001d,EN2001d.D,3925,1390.0000000001,18,15,1319.35
EN2001d,EN2001d.D,5747,1470.0000000000273,44,1,1860.68
EN2001d,EN2001d.D,6018,1929.9999999998363,4,30,1948.94
EN2001d,EN2001d.D,8669,2759.9999999997635,10,16,2861.96
EN2001d,EN2001d.D,8844,1929.9999999998363,15,14,2915.02
EN2001d,EN2001d.D,9490,1589.9999999996908,25,1,3133.59
EN2001d,EN2001d.D,9642,1579.9999999999272,4,14,3180.64
EN2001d,EN2001d.E,3286,2259.999999999991,7,15,1114.06
EN2001d,EN2001d.E,3491,1829.9999999999272,5,10,1178.65
EN2001d,EN2001d.E,3734,4400.000000000091,4,6,1253.6
EN2001d,EN2001d.E,3754,1569.9999999999363,2,1,1263.99
EN2001d,EN2001d.E,5613,1340.0000000001455,8,1,1810.29
EN2001d,EN2001d.E,7175,1700.0000000002728,6,1,2311.74
EN2001d,EN2001d.E,10167,1849.999999999909,1,30,3349.4
EN2001e,EN2001e.A,6531,1019.9999999999818,125,104,1997.65
EN2001e,EN2001e.A,6656,619.9999999998909,50,125,2056.23
EN2001e,EN2001e.A,6706,2230.000000000018,70,50,2085.92
EN2001e,EN2001e.A,6776,1919.999999999618,29,70,2118.05
EN2001e,EN2001e.A,8579,1880.0000000001091,21,22,2701.14
EN2001e,EN2001e.B,288,1740.000000000009,9,69,82.16
EN2001e,EN2001e.B,297,2149.9999999999914,6,9,86.42
EN2001e,EN2001e.B,303,4759.999999999991,11,6,93.34
EN2001e,EN2001e.B,314,2840.0000000000036,47,11,100.44
EN2001e,EN2001e.B,361,4790.000000000006,14,47,118.3
EN2001e,EN2001e.B,375,4120.000000000005,105,14,128.15
EN2001e,EN2001e.B,587,2250.0,22,2,193.22
EN2001e,EN2001e.B,609,4560.000000000002,105,22,201.59
EN2001e,EN2001e.B,799,1480.0000000000182,1,58,255.56
EN2001e,EN2001e.B,800,1960.0000000000364,22,1,257.58
EN2001e,EN2001e.B,839,1910.000000000025,3,1,276.07
EN2001e,EN2001e.B,842,1990.000000000009,18,3,278.71
EN2001e,EN2001e.B,1342,2250.0,19,1,466.67
EN2001e,EN2001e.B,2389,2039.9999999999636,144,32,762.82
EN2001e,EN2001e.B,3956,1790.000000000191,15,32,1214.36
EN2001e,EN2001e.B,4530,4019.999999999982,1,1,1407.6
EN2001e,EN2001e.B,5073,3339.999999999918,10,1,1563.48
EN2001e,EN2001e.B,5222,460.0000000000364,14,1,1612.61
EN2001e,EN2001e.B,5276,2000.0,76,21,1625.13
EN2001e,EN2001e.B,5389,1799.9999999999545,75,20,1655.63
EN2001e,EN2001e.B,7385,1390.0000000003274,4,24,2302.68
EN2001e,EN2001e.B,9050,3190.0000000000546,4,27,2847.89
EN2001e,EN2001e.B,9496,1739.9999999997817,3,77,2984.01
EN2001e,EN2001e.B,9620,2260.0000000002183,1,1,3031.52
EN2001e,EN2001e.B,10693,2400.000000000091,62,23,3342.38
EN2001e,EN2001e.B,11058,1679.9999999998363,16,14,3445.38
EN2001e,EN2001e.B,11347,3869.999999999891,50,14,3525.67
EN2001e,EN2001e.B,11401,2039.9999999999636,25,50,3542.06
EN2001e,EN2001e.B,11493,2629.9999999996544,49,1,3577.03
EN2001e,EN2001e.B,11847,4590.0000000001455,6,48,3674.98
EN2001e,EN2001e.B,12207,2700.000000000273,16,15,3784.43
EN2001e,EN2001e.B,12223,4930.000000000291,12,16,3791.7
EN2001e,EN2001e.B,12745,4200.000000000273,7,166,3947.12
EN2001e,EN2001e.C,1789,1549.9999999999545,8,14,609.88
EN2001e,EN2001e.D,3693,3350.0000000001364,11,13,1139.82
EN2001e,EN2001e.D,3972,2119.999999999891,16,1,1220.63
EN2001e,EN2001e.D,4271,1519.9999999999818,45,8,1326.32
EN2001e,EN2001e.D,4354,2650.000000000091,36,11,1351.76
EN2001e,EN2001e.D,7414,1849.999999999909,3,24,2313.4
EN2001e,EN2001e.D,9558,2150.000000000091,14,59,3005.45
EN2001e,EN2001e.D,9615,2259.9999999997635,4,18,3025.73
EN2001e,EN2001e.D,9667,1220.0000000002547,17,1,3045.1
EN2001e,EN2001e.D,10142,1719.9999999998,14,10,3173.5
EN2001e,EN2001e.D,11483,1800.000000000182,9,22,3572.64
EN2001e,EN2001e.D,12257,2519.999999999982,30,19,3812.97
EN2001e,EN2001e.E,1272,1539.9999999999636,1,23,442.6
EN2001e,EN2001e.E,9207,1619.9999999998909,31,1,2897.77
EN2002a,EN2002a.A,1472,1300.0000000000114,157,1,424.81
EN2002a,EN2002a.A,2768,2099.999999999909,1,1,749.7
EN2002a,EN2002a.A,5353,180.00000000006366,38,2,1502.7
EN2002a,EN2002a.A,5571,1829.9999999999272,11,17,1574.69
EN2002a,EN2002a.A,5582,2460.0000000000364,30,11,1580.52
EN2002a,EN2002a.A,5733,4819.999999999936,1,2,1633.46
EN2002a,EN2002a.A,5782,1200.0000000000455,3,23,1655.81
EN2002a,EN2002a.A,6320,1109.9999999999,7,1,1834.66
EN2002a,EN2002a.A,6543,1480.0000000000182,3,7,1893.83
EN2002a,EN2002a.A,7356,2440.0000000000546,10,7,2081.92
EN2002a,EN2002a.A,7494,2219.9999999998,1,2,2127.67
EN2002a,EN2002a.B,125,2789.999999999999,3,13,45.5
EN2002a,EN2002a.B,963,1469.9999999999704,27,14,290.29
EN2002a,EN2002a.B,1940,1769.9999999999818,6,6,544.52
EN2002a,EN2002a.B,2374,1199.9999999999318,15,28,656.36
EN2002a,EN2002a.B,2580,1329.9999999999272,1,2,704.96
EN2002a,EN2002a.B,3228,2170.0000000000728,1,25,888.67
EN2002a,EN2002a.B,4033,1450.0000000000455,7,11,1104.98
EN2002a,EN2002a.B,4163,1920.0000000000728,38,6,1156.37
EN2002a,EN2002a.B,5189,1740.000000000009,2,1,1446.93
EN2002a,EN2002a.B,5192,3009.999999999991,1,2,1448.99
EN2002a,EN2002a.B,5860,1779.9999999999727,12,1,1697.42
EN2002a,EN2002a.B,6021,1040.000000000191,11,2,1755.87
EN2002a,EN2002a.B,6165,1970.0000000000273,42,1,1796.74
EN2002a,EN2002a.B,7332,2280.0000000002,13,14,2067.31
EN2002a,EN2002a.B,7345,3150.000000000091,4,13,2074.89
EN2002a,EN2002a.B,7508,1860.0000000001273,8,5,2137.42
EN2002a,EN2002a.C,223,1730.000000000004,4,53,84.75
EN2002a,EN2002a.C,227,1540.0000000000064,35,4,87.07
EN2002a,EN2002a.C,262,2290.0000000000064,86,35,103.91
EN2002a,EN2002a.C,351,1810.0000000000023,78,86,134.81
EN2002a,EN2002a.C,447,1939.9999999999977,26,78,160.74
EN2002a,EN2002a.C,684,1490.000000000009,26,13,221.54
EN2002a,EN2002a.C,1080,1620.0000000000045,46,12,319.76
EN2002a,EN2002a.C,1921,1760.0000000001046,9,50,530.56
EN2002a,EN2002a.C,2129,1320.00000000005,1,3,594.65
EN2002a,EN2002a.C,2158,2719.9999999999136,25,1,607.33
EN2002a,EN2002a.C,2914,1319.9999999999363,17,13,782.73
EN2002a,EN2002a.C,2931,1100.0000000000227,3,17,789.14
EN2002a,EN2002a.C,3475,1750.0,2,18,946.77
EN2002a,EN2002a.C,4794,1380.0000000001091,37,12,1330.08
EN2002a,EN2002a.C,4915,1539.9999999999636,22,45,1370.45
EN2002a,EN2002a.C,5508,3710.0000000000364,12,22,1547.81
EN2002a,EN2002a.C,5752,1909.9999999998545,2,14,1642.94
EN2002a,EN2002a.C,5879,2609.9999999999,44,7,1708.24
EN2002a,EN2002a.D,2110,1150.000000000091,16,18,589.8
EN2002a,EN2002a.D,4561,2109.9999999999,4,15,1259.51
EN2002a,EN2002a.D,4586,2230.000000000018,4,2,1268.28
EN2002a,EN2002a.D,4967,1569.9999999999363,1,1,1383.79
EN2002b,EN2002b.A,1614,2259.999999999991,8,1,534.52
EN2002b,EN2002b.A,1753,1779.9999999999727,5,41,580.7
EN2002b,EN2002b.A,2334,4259.999999999991,10,1,736.74
EN2002b,EN2002b.A,2377,2250.0,1,1,752.63
EN2002b,EN2002b.A,4248,1430.0000000000637,11,9,1271.47
EN2002b,EN2002b.A,4259,1450.0000000000455,22,11,1275.71
EN2002b,EN2002b.B,3865,1740.000000000009,36,3,1179.56
EN2002b,EN2002b.C,152,1430.0000000000068,23,13,142.94
EN2002b,EN2002b.C,1557,1910.000000000025,1,8,504.84
EN2002b,EN2002b.C,1610,2730.000000000018,2,3,527.42
EN2002b,EN2002b.C,3233,1110.0000000000136,2,7,984.33
EN2002b,EN2002b.C,3706,2410.000000000082,2,37,1117.1
EN2002b,EN2002b.C,3708,1230.0000000000182,46,2,1120.91
EN2002b,EN2002b.C,3796,1299.9999999999545,23,10,1145.06
EN2002b,EN2002b.C,4530,1210.0000000000364,1,1,1339.74
EN2002b,EN2002b.C,4558,1699.999999999818,38,19,1350.16
EN2002b,EN2002b.C,4597,2650.000000000091,2,38,1362.28
EN2002b,EN2002b.C,4634,1150.000000000091,38,3,1371.36
EN2002b,EN2002b.C,5272,1199.999999999818,50,3,1539.67
EN2002b,EN2002b.C,5759,3000.0,24,2,1694.26
EN2002b,EN2002b.D,11,3300.000000000004,1,1,29.29
EN2002b,EN2002b.D,37,1140.0000000000005,6,18,43.81
EN2002b,EN2002b.D,289,2170.000000000016,68,1,175.13
EN2002b,EN2002b.D,1606,3389.9999999999864,1,1,522.72
EN2002b,EN2002b.D,1827,2529.9999999999727,42,31,599.14
EN2002b,EN2002b.D,1981,1129.9999999999955,1,82,639.82
EN2002b,EN2002b.D,2554,1319.9999999999363,110,119,810.33
EN2002b,EN2002b.D,2667,1500.0,7,110,839.98
EN2002b,EN2002b.D,3209,1310.0000000000591,17,2,958.28
EN2002b,EN2002b.D,3666,1440.0000000000546,1,78,1101.49
EN2002b,EN2002b.D,3667,1670.0000000000728,1,1,1103.31
EN2002b,EN2002b.D,5152,1370.0000000001182,21,118,1498.27
EN2002b,EN2002b.D,5173,1460.0000000000364,15,21,1505.42
EN2002b,EN2002b.D,5188,1670.0000000000728,20,15,1511.37
EN2002b,EN2002b.D,5476,1519.9999999999818,1,8,1598.7
EN2002b,EN2002b.D,5549,1319.9999999999363,9,6,1619.22
EN2002c,EN2002c.A,187,2639.9999999999864,1,56,148.4
EN2002c,EN2002c.A,188,3410.000000000025,10,1,151.95
EN2002c,EN2002c.A,1416,1729.9999999999613,3,2,490.05
EN2002c,EN2002c.A,2309,2610.0000000000136,12,1,700.11
EN2002c,EN2002c.A,2786,1569.9999999999363,2,52,834.07
EN2002c,EN2002c.A,2788,2179.99999999995,26,2,836.48
EN2002c,EN2002c.A,4807,2350.0000000001364,11,2,1365.62
